task_id,family,variant,witnesses_found,compile_result,states_explored,search_time_ms
bench_stack_nested_scope_01,stack_sensitive,TypeOnly,5,pass,15,0.9
bench_stack_reborrow_depth_01,stack_sensitive,Full,5,pass,15,0.9
bench_stack_reborrow_depth_01,stack_sensitive,NoStack,5,pass,15,0.7
bench_stack_reborrow_depth_01,stack_sensitive,NoCapability,5,pass,15,0.8
bench_stack_reborrow_depth_01,stack_sensitive,NoObligation,5,pass,15,0.9
bench_stack_reborrow_depth_01,stack_sensitive,TypeOnly,5,pass,15,0.8
bench_stack_shr_then_mut_01,stack_sensitive,Full,5,pass,15,0.9
bench_stack_shr_then_mut_01,stack_sensitive,NoStack,5,pass,15,0.8
bench_stack_shr_then_mut_01,stack_sensitive,NoCapability,5,pass,15,0.9
bench_stack_shr_then_mut_01,stack_sensitive,NoObligation,5,pass,15,1.0
bench_stack_shr_then_mut_01,stack_sensitive,TypeOnly,5,pass,15,0.8
bench_typeonly_borrow_kind_01,typeonly_trap,Full,5,pass,15,1.1
bench_typeonly_borrow_kind_01,typeonly_trap,NoStack,5,pass,15,0.9
bench_typeonly_borrow_kind_01,typeonly_trap,NoCapability,5,pass,15,0.9
bench_typeonly_borrow_kind_01,typeonly_trap,NoObligation,5,pass,15,0.9
bench_typeonly_borrow_kind_01,typeonly_trap,TypeOnly,5,pass,15,0.7
bench_typeonly_cap_trap_01,typeonly_trap,Full,5,pass,15,1.0
bench_typeonly_cap_trap_01,typeonly_trap,NoStack,5,pass,15,0.8
bench_typeonly_cap_trap_01,typeonly_trap,NoCapability,5,pass,15,0.8
bench_typeonly_cap_trap_01,typeonly_trap,NoObligation,5,pass,15,0.9
bench_typeonly_cap_trap_01,typeonly_trap,TypeOnly,5,pass,15,0.8
bench_typeonly_dead_provider_01,typeonly_trap,Full,5,pass,17,1.2
bench_typeonly_dead_provider_01,typeonly_trap,NoStack,5,pass,17,1.2
bench_typeonly_dead_provider_01,typeonly_trap,NoCapability,5,pass,17,1.0
bench_typeonly_dead_provider_01,typeonly_trap,NoObligation,5,pass,17,1.3
bench_typeonly_dead_provider_01,typeonly_trap,TypeOnly,5,pass,17,1.0
